Feature,Importance
BMI,0.16973638147859652
AgeCategory,0.13904611251131527
GenHealth,0.10894442895710013
PhysicalHealth,0.08979620929018312
SleepTime,0.08633710386544062
Diabetic,0.07198381330425824
MentalHealth,0.06505658198653382
Stroke,0.04571505850569758
DiffWalking,0.03929834991392819
Sex,0.03912799189661111
Smoking,0.03305835725553555
PhysicalActivity,0.03037176770619957
SkinCancer,0.02551906349502864
KidneyDisease,0.024540633559228565
Asthma,0.023966306031146956
AlcoholDrinking,0.007501840243196137
Race,0.0
